US Females T-20		US Females T+20		Hadza T-20		Hadza T+20		Type II T-20		Type II T+20
0.4347309		0.4962563		0.4364977		0.490636		0.479113		0.4916224
0.4341037		0.4962288		0.4364212		0.4905719		0.4789429		0.4916218
0.4336973		0.4962019		0.4365046		0.4905064		0.4789041		0.4916213
0.4335212		0.4961761		0.4360594		0.4904458		0.4788454		0.4916051
0.4333159		0.4961505		0.4356207		0.4903819		0.4787664		0.4915802
0.4331327		0.4961267		0.4356648		0.4903284		0.47857			0.4915512
0.4328111		0.4961035		0.4352889		0.4902777		0.4784927		0.4915035
0.432588		0.4960815		0.4348952		0.490236		0.4784241		0.4914439
0.4322656		0.4960614		0.4345545		0.4902032		0.4783248		0.4913711
0.431864		0.4960422		0.4343905		0.4901684		0.4782654		0.4912825
0.4316558		0.4960245		0.4341755		0.490142		0.4782336		0.4911888
0.4315278		0.496007		0.4346067		0.4901145		0.4780614		0.4910829
0.431201		0.4959912		0.4339234		0.4900871		0.4779741		0.4909874
0.4309681		0.495976		0.4339468		0.4900588		0.4779389		0.4908936
0.4307963		0.4959603		0.4338334		0.4900207		0.4779199		0.4908128
0.4303934		0.4959446		0.4330613		0.4899785		0.4779109		0.4907475
0.430242		0.4959298		0.4329587		0.4899255		0.4778022		0.4906894
0.4302233		0.495914		0.4323178		0.4898643		0.477833		0.4906438
0.4299297		0.4958978		0.4319006		0.4897921		0.4777788		0.4906125
0.4296354		0.4958801		0.4318566		0.489708		0.4776993		0.4905802
0.4296349		0.4958621		0.4318531		0.4896162		0.4774824		0.490548
0.4294288		0.4958426		0.4320849		0.4895194		0.4774265		0.4905205
0.4290607		0.495823		0.4316278		0.4894252		0.4773154		0.4904932
0.4287913		0.4958024		0.4314741		0.4893284		0.4772982		0.4904544
0.4285926		0.4957814		0.4310312		0.4892409		0.4771948		0.4904079
0.4282131		0.4957587		0.4309937		0.4891713		0.476993		0.4903633
0.4276579		0.4957361		0.4309115		0.4891129		0.4768269		0.4903077
0.4272331		0.4957127		0.4307172		0.4890756		0.4766655		0.4902491
0.4267929		0.4956901		0.4300087		0.4890597		0.4765927		0.4901942
0.426368		0.4956669		0.429886		0.4890623		0.4763729		0.4901408
0.4262101		0.4956433		0.4295952		0.4890851		0.4761442		0.4900874
0.4260524		0.4956207		0.429163		0.4891229		0.4761692		0.4900375
0.4256586		0.4955984		0.4285338		0.4891728		0.4760778		0.4899965
0.4253793		0.4955764		0.4282722		0.4892269		0.4758347		0.4899572
0.4251092		0.4955553		0.428153		0.4892783		0.475661		0.4899335
0.4247952		0.495535		0.4276109		0.4893258		0.4755998		0.4899084
0.4246984		0.4955146		0.427838		0.4893686		0.4755677		0.4898912
0.4244659		0.4954935		0.4278439		0.4894008		0.4753622		0.4898796
0.4242298		0.4954721		0.4274957		0.4894229		0.4753112		0.4898706
0.4238536		0.4954515		0.4271174		0.4894369		0.4751663		0.4898561
0.4234218		0.4954309		0.4263			0.4894314		0.4751421		0.4898461
0.4229626		0.4954104		0.4257619		0.489414		0.4751046		0.4898366
0.4225952		0.4953893		0.425662		0.4893935		0.4749547		0.4898242
0.4223342		0.4953687		0.4259505		0.4893638		0.4747678		0.4898121
0.4222453		0.4953483		0.4251153		0.4893342		0.4746704		0.4897882
0.4220106		0.4953284		0.4248444		0.4893031		0.474638		0.4897601
0.4216941		0.4953076		0.4242506		0.4892727		0.4746181		0.4897219
0.4214655		0.4952881		0.4232168		0.4892411		0.4744503		0.4896705
0.4211389		0.4952685		0.4230483		0.4892141		0.4742539		0.4896042
0.420884		0.4952495		0.4223146		0.4891858		0.4740741		0.4895365
0.4206196		0.4952317		0.4226007		0.4891615		0.473848		0.4894618
0.4203866		0.4952142		0.4222675		0.4891354		0.4737814		0.4893802
0.4199433		0.4951978		0.4220452		0.4891092		0.4736881		0.4892927
0.4196846		0.4951806		0.4218507		0.4890816		0.4735026		0.4892083
0.4194699		0.4951643		0.4216353		0.4890442		0.4734158		0.4891268
0.4190588		0.4951475		0.4215427		0.4889983		0.4732482		0.4890447
0.4185957		0.495131		0.4210847		0.4889429		0.4731815		0.4889732
0.4181734		0.4951146		0.4209856		0.4888745		0.4729321		0.4889005
0.4179591		0.4950973		0.4209036		0.4888003		0.4730466		0.4888356
0.4176299		0.4950805		0.4207034		0.4887145		0.4728865		0.4887842
0.4172752		0.4950632		0.4202683		0.4886248		0.4727329		0.4887389
0.4170785		0.495046		0.4202661		0.488536		0.4725114		0.4886868
0.416836		0.4950293		0.4201886		0.4884416		0.4723419		0.4886493
0.4166139		0.4950119		0.4199524		0.4883552		0.4722431		0.488612
0.4161689		0.494995		0.4192065		0.4882685		0.4721238		0.4885665
0.4159162		0.4949789		0.4190736		0.488196		0.4720135		0.4885238
0.415746		0.4949622		0.4189607		0.4881377		0.4719918		0.4884839
0.415661		0.4949457		0.4188471		0.4880922		0.4718804		0.4884399
0.4154134		0.494929		0.4184511		0.4880614		0.4715941		0.4883943
0.4150744		0.4949121		0.41805			0.4880477		0.4715797		0.4883482
0.4147618		0.4948959		0.4174746		0.4880466		0.4714545		0.4883086
0.4144732		0.4948794		0.4170032		0.4880582		0.4714303		0.4882659
0.4140407		0.4948638		0.4162267		0.4880845		0.4715094		0.4882312
0.4136323		0.4948475		0.4156603		0.4881225		0.4713428		0.4882053
0.4131426		0.4948313		0.4158631		0.4881659		0.4712569		0.4881855
0.4125924		0.4948152		0.4158912		0.4882062		0.4712403		0.4881781
0.4123824		0.4947984		0.4151774		0.4882497		0.4712159		0.4881789
0.4124516		0.4947822		0.4147287		0.4882957		0.4712226		0.4881854
0.4124055		0.4947659		0.4145556		0.4883288		0.4711068		0.4881997
0.411964		0.4947495		0.4143642		0.4883587		0.4710762		0.4882145
0.4115576		0.4947326		0.4146922		0.4883731		0.4710925		0.4882167
0.4111172		0.4947148		0.4145424		0.4883699		0.4710375		0.4882105
0.4107758		0.4946965		0.4142454		0.4883654		0.4708701		0.4881975
0.4106298		0.4946778		0.4142513		0.4883482		0.4708297		0.4881703
0.4106758		0.4946583		0.4139201		0.4883229		0.4708279		0.4881125
